Country,Year,Sex,Age,Population
Italy,2018,Male,117,37452
Italy,2018,Male,118,37452
Italy,2018,Male,119,37452
Italy,2018,Male,120,37452
Italy,2018,Male,121,37452
Italy,2018,Male,122,37452
Italy,2018,Female,80,64000
Italy,2018,Female,81,64000
Italy,2018,Female,82,64000
Italy,2018,Female,83,64000
Italy,2018,Female,84,64000
Italy,2018,Female,85,64000
Italy,2018,Female,86,64000
Italy,2018,Female,87,64000
Italy,2018,Female,88,64000
Italy,2018,Female,89,64000
Italy,2018,Female,90,64000
Italy,2018,Female,91,64000
Italy,2018,Female,92,64000
Italy,2018,Female,93,64000
Italy,2018,Female,94,64000
Italy,2018,Female,95,64000
Italy,2018,Female,96,64000
Italy,2018,Female,97,64000
Italy,2018,Female,98,64000
Italy,2018,Female,99,64000
Italy,2018,Female,100,64000
Italy,2018,Female,101,64000
Italy,2018,Female,102,64000
Italy,2018,Female,103,64000
Italy,2018,Female,104,64000
Italy,2018,Female,105,64000
Italy,2018,Female,106,64000
Italy,2018,Female,107,64000
Italy,2018,Female,108,64000
Italy,2018,Female,109,64000
Italy,2018,Female,110,64000
Italy,2018,Female,111,64000
Italy,2018,Female,112,64000
Italy,2018,Female,113,64000
Italy,2018,Female,114,64000
Italy,2018,Female,115,64000
Italy,2018,Female,116,64000
Italy,2018,Female,117,64000
Italy,2018,Female,118,64000
Italy,2018,Female,119,64000
Italy,2018,Female,120,64000
Italy,2018,Female,121,64000
Italy,2018,Female,122,64000
Italy,2017,Male,0,257679
Italy,2017,Male,1,257679
Italy,2017,Male,2,257679
Italy,2017,Male,3,257679
Italy,2017,Male,4,257679
Italy,2017,Female,0,242378
Italy,2017,Female,1,242378
Italy,2017,Female,2,242378
Italy,2017,Female,3,242378
Italy,2017,Female,4,242378
Italy,2017,Male,5,288176
Italy,2017,Male,6,288176
Italy,2017,Male,7,288176
Italy,2017,Male,8,288176
Italy,2017,Male,9,288176
Italy,2017,Female,5,272007
Italy,2017,Female,6,272007
Italy,2017,Female,7,272007
Italy,2017,Female,8,272007
Italy,2017,Female,9,272007
Italy,2017,Male,10,294441
Italy,2017,Male,11,294441
Italy,2017,Male,12,294441
Italy,2017,Male,13,294441
Italy,2017,Male,14,294441
Italy,2017,Female,10,276784
Italy,2017,Female,11,276784
Italy,2017,Female,12,276784
Italy,2017,Female,13,276784
Italy,2017,Female,14,276784
Italy,2017,Male,15,295608
Italy,2017,Male,16,295608
Italy,2017,Male,17,295608
Italy,2017,Male,18,295608
Italy,2017,Male,19,295608
Italy,2017,Female,15,273785
Italy,2017,Female,16,273785
Italy,2017,Female,17,273785
Italy,2017,Female,18,273785
Italy,2017,Female,19,273785
Italy,2017,Male,20,309408
Italy,2017,Male,21,309408
Italy,2017,Male,22,309408
Italy,2017,Male,23,309408
Italy,2017,Male,24,309408
Italy,2017,Female,20,288079
Italy,2017,Female,21,288079
Italy,2017,Female,22,288079
Italy,2017,Female,23,288079
Italy,2017,Female,24,288079
Italy,2017,Male,25,326945
Italy,2017,Male,26,326945
Italy,2017,Male,27,326945
Italy,2017,Male,28,326945
Italy,2017,Male,29,326945
Italy,2017,Female,25,314641
Italy,2017,Female,26,314641
Italy,2017,Female,27,314641
Italy,2017,Female,28,314641
Italy,2017,Female,29,314641
Italy,2017,Male,30,346702
Italy,2017,Male,31,346702
Italy,2017,Male,32,346702
Italy,2017,Male,33,346702
Italy,2017,Male,34,346702
Italy,2017,Female,30,341884
Italy,2017,Female,31,341884
Italy,2017,Female,32,341884
Italy,2017,Female,33,341884
Italy,2017,Female,34,341884
Italy,2017,Male,35,390424
Italy,2017,Male,36,390424
Italy,2017,Male,37,390424
Italy,2017,Male,38,390424
Italy,2017,Male,39,390424
Italy,2017,Female,35,389575
Italy,2017,Female,36,389575
Italy,2017,Female,37,389575
Italy,2017,Female,38,389575
Italy,2017,Female,39,389575
Italy,2017,Male,40,458382
Italy,2017,Male,41,458382
Italy,2017,Male,42,458382
Italy,2017,Male,43,458382
Italy,2017,Male,44,458382
Italy,2017,Female,40,461909
Italy,2017,Female,41,461909
Italy,2017,Female,42,461909
Italy,2017,Female,43,461909
Italy,2017,Female,44,461909
Italy,2017,Male,45,488953
Italy,2017,Male,46,488953
Italy,2017,Male,47,488953
Italy,2017,Male,48,488953
Italy,2017,Male,49,488953
Italy,2017,Female,45,498548
Italy,2017,Female,46,498548
Italy,2017,Female,47,498548
Italy,2017,Female,48,498548
Italy,2017,Female,49,498548
Italy,2017,Male,50,475495
Italy,2017,Male,51,475495
Italy,2017,Male,52,475495
Italy,2017,Male,53,475495
Italy,2017,Male,54,475495
Italy,2017,Female,50,492539
Italy,2017,Female,51,492539
Italy,2017,Female,52,492539
Italy,2017,Female,53,492539
Italy,2017,Female,54,492539
Italy,2017,Male,55,415968
Italy,2017,Male,56,415968
Italy,2017,Male,57,415968
Italy,2017,Male,58,415968
Italy,2017,Male,59,415968
Italy,2017,Female,55,440465
Italy,2017,Female,56,440465
Italy,2017,Female,57,440465
Italy,2017,Female,58,440465
Italy,2017,Female,59,440465
Italy,2017,Male,60,356822
Italy,2017,Male,61,356822
Italy,2017,Male,62,356822
Italy,2017,Male,63,356822
Italy,2017,Male,64,356822
Italy,2017,Female,60,385601
Italy,2017,Female,61,385601
Italy,2017,Female,62,385601
Italy,2017,Female,63,385601
Italy,2017,Female,64,385601
Italy,2017,Male,65,342407
Italy,2017,Male,66,342407
Italy,2017,Male,67,342407
Italy,2017,Male,68,342407
Italy,2017,Male,69,342407
Italy,2017,Female,65,376760
Italy,2017,Female,66,376760
Italy,2017,Female,67,376760
Italy,2017,Female,68,376760
Italy,2017,Female,69,376760
Italy,2017,Male,75,238880
Italy,2017,Male,76,238880
Italy,2017,Male,77,238880
Italy,2017,Male,78,238880
Italy,2017,Male,79,238880
Italy,2017,Female,75,300843
Italy,2017,Female,76,300843
Italy,2017,Female,77,300843
Italy,2017,Female,78,300843
Italy,2017,Female,79,300843
Italy,2017,Male,80,36126
Italy,2017,Male,81,36126
Italy,2017,Male,82,36126
Italy,2017,Male,83,36126
Italy,2017,Male,84,36126
Italy,2017,Male,85,36126
Italy,2017,Male,86,36126
Italy,2017,Male,87,36126
Italy,2017,Male,88,36126
Italy,2017,Male,89,36126
Italy,2017,Male,90,36126
Italy,2017,Male,91,36126
Italy,2017,Male,92,36126
Italy,2017,Male,93,36126
Italy,2017,Male,94,36126
Italy,2017,Male,95,36126
Italy,2017,Male,96,36126
Italy,2017,Male,97,36126
Italy,2017,Male,98,36126
Italy,2017,Male,99,36126
Italy,2017,Male,100,36126
Italy,2017,Male,101,36126
Italy,2017,Male,102,36126
Italy,2017,Male,103,36126
Italy,2017,Male,104,36126
Italy,2017,Male,105,36126
Italy,2017,Male,106,36126
Italy,2017,Male,107,36126
Italy,2017,Male,108,36126
Italy,2017,Male,109,36126
Italy,2017,Male,110,36126
Italy,2017,Male,111,36126
Italy,2017,Male,112,36126
Italy,2017,Male,113,36126
Italy,2017,Male,114,36126
Italy,2017,Male,115,36126
Italy,2017,Male,116,36126
Italy,2017,Male,117,36126
Italy,2017,Male,118,36126
Italy,2017,Male,119,36126
Italy,2017,Male,120,36126
Italy,2017,Male,121,36126
Italy,2017,Male,122,36126
Italy,2017,Female,80,62764
Italy,2017,Female,81,62764
Italy,2017,Female,82,62764
Italy,2017,Female,83,62764
Italy,2017,Female,84,62764
Italy,2017,Female,85,62764
Italy,2017,Female,86,62764
Italy,2017,Female,87,62764
Italy,2017,Female,88,62764
Italy,2017,Female,89,62764
Italy,2017,Female,90,62764
Italy,2017,Female,91,62764
Italy,2017,Female,92,62764
Italy,2017,Female,93,62764
Italy,2017,Female,94,62764
Italy,2017,Female,95,62764
Italy,2017,Female,96,62764
Italy,2017,Female,97,62764
Italy,2017,Female,98,62764
Italy,2017,Female,99,62764
Italy,2017,Female,100,62764
Italy,2017,Female,101,62764
Italy,2017,Female,102,62764
Italy,2017,Female,103,62764
Italy,2017,Female,104,62764
Italy,2017,Female,105,62764
Italy,2017,Female,106,62764
Italy,2017,Female,107,62764
